eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
tamen	however, nonetheless, but, nevertheless	그렇지만	cependant, néanmoins, mais, néanmoins	しかし、	然而，尽管如此，但是，尽管如此	然而，儘管如此，但是，儘管如此	tuy nhiên, tuy nhiên, nhưng, tuy nhiên	Гэсэн хэдий ч, Гэсэн хэдий ч, гэхдээ, Гэсэн хэдий ч	อย่างไรก็ตาม อย่างไรก็ตาม แต่อย่างไรก็ตาม	walau bagaimanapun, walau bagaimanapun, tetapi, walau bagaimanapun	namun, meskipun demikian, namun, meskipun demikian	हालाँकि, फिर भी, लेकिन, फिर भी	با این حال، با این وجود، اما، با این وجود	तथापि, यद्यपि, तर, यद्यपि	تاہم، اس کے باوجود، لیکن، اس کے باوجود	bununla birlikte, yine de, ama yine de	אולם, בכל זאת, אבל, בכל זאת	ومع ذلك، ومع ذلك، ولكن مع ذلك	jedoch, dennoch, aber, dennoch	sin embargo, sin embargo, pero, sin embargo	tuttavia, tuttavia, ma, tuttavia	no entanto, contudo, mas, no entanto	однако, тем не менее, но, тем не менее	jednakże, jednak, ale, jednak
ho!	Oh! Ho!	오! 아! (감탄사)	Oh! Ho!	ああ！ああ！ (感嘆者)	哦！嗬！	哦！嗬！	Ồ! ồ!	Өө! Хо!	โอ้! โฮ!	Oh! Ho!	Oh! Ho!	ओह! हो!	اوه! هو!	ओह! हो!	اوہ! ہو!	Ah! Ho!	הו! הו!	أوه! هو!	Oh! Ho!	¡Oh! ¡Ho!	OH! Oh!	Oh! Ho!	Ой! Хо!	Oh! Ho!
ke ~	that ~	~한 것(을) (종속 접속사)	ça ~	～したもの （従属接続社）	那个~	那個~	cái đó ~	тэр ~	นั่น ~	itu ~	itu ~	वह~	که ~	त्यो ~	وہ ~	bu ~	כי ~	أن ~	das ~	eso ~	quello ~	isso ~	это ~	to ~
ĉar ~	because ~	왜냐하면 ~	parce que ~	なぜなら〜	因为~	因為~	bởi vì ~	Учир нь ~	เพราะ~	kerana ~	karena ~	क्योंकि~	چون ~	किनभने ~	کیونکہ ~	çünkü ~	כי ~	لأن ~	weil ~	porque ~	perché ~	porque ~	потому что ~	ponieważ ~
ĉu	whether ~	~입니까? ~인가? ~인가요?	si ~	〜ですか？ 〜ですか？ 〜ですか？	是否~	是否~	liệu ~	эсэх ~	ไม่ว่าจะเป็น ~	sama ada ~	apakah ~	चाहे~	چه ~	चाहे ~	چاہے ~	~ olup olmadığı	אם ~	سواء ~	ob ~	si ~	se ~	se ~	ли ~	czy ~
-ej-	(suffix)  place	장소 접미사	(suffix) lieu	場所サフィックス	(词尾) 地方	&lt;詞尾&gt;地方	(hậu tố) địa điểm	(suffix) газар	(suffix) สถานที่	(suffix) tempat	(suffix) tempat	(suffix) जगह	(suffix) محل	(suffix) ठाउँ	(suffix) جگہ	(suffix) yer	(suffix) מקום	(suffix) مكان	(Suffix) Ort	(sufijo) lugar	(suffisso) luogo	(sufixo) lugar	(суффикс) место	(przyrostek) miejsce
-ec-	(suffix)  abstract name of quality	특성 접미사	(suffix) nom abstrait de la qualité	特性サフィックス	(词尾) 质量的抽象名称	&lt;詞尾&gt;品質的抽象名稱	(hậu tố) tên trừu tượng của chất lượng	(suffix) чанарын хийсвэр нэр	(suffix) ชื่อนามธรรมของคุณภาพ	(suffix) nama abstrak kualiti	(suffix) nama abstrak kualitas	(suffix) गुणवत्ता का सार नाम	(suffix) نام انتزاعی کیفیت	(suffix) गुणस्तरको अमूर्त नाम	(suffix) معیار کا خلاصہ نام	(suffix) kalitenin soyut adı	(suffix) שם מופשט של איכות	(suffix) اسم مجردة للجودة	(Suffix) abstrakter Name der Qualität	(sufijo) nombre abstracto de la calidad	(suffisso) nome astratto di qualità	(sufixo) nome abstrato da qualidade	(суффикс) абстрактное название качества	(przyrostek) abstrakcyjna nazwa jakości
ambaŭ ~	both ~	둘 다, 양쪽 다	les deux ~	両方、両方	两者都有~	兩者都有~	cả hai ~	хоёулаа ~	ทั้งสอง ~	kedua-duanya ~	keduanya ~	दोनों~	هر دو ~	दुबै ~	دونوں ~	her ikisi de ~	שניהם ~	كلاهما ~	beide ~	ambos ~	entrambi ~	ambos ~	оба ~	oba ~
tuj	immediately, instantly, right away	곧, 바로, 즉시	immédiatement, instantanément, tout de suite	すぐに、すぐに、すぐに	立即，立即，马上	立即，立即，馬上	ngay lập tức, ngay lập tức, ngay lập tức	тэр даруй, тэр даруй, тэр даруй	ทันที, ทันที, ทันที	serta merta, serta merta, serta merta	segera, seketika, segera	तुरंत, तुरंत, तुरंत	بلافاصله، فورا، فورا	तुरुन्तै, तुरुन्तै, तुरुन्तै	فوراً، فوراً، فوراً	hemen, anında, hemen	מיד, מיידי, מיד	على الفور، على الفور، على الفور	sofort, sofort, sofort	inmediatamente, al instante, inmediatamente	immediatamente, all'istante, subito	imediatamente, instantaneamente, imediatamente	немедленно, тотчас, тотчас же	natychmiast, natychmiast, natychmiast
kvazaŭ ~	as if ~	마치 ~인것처럼	comme si ~	まるで〜のように	好像~	好像~	như thể ~	~ шиг	ราวกับว่า ~	seolah-olah ~	seolah-olah ~	मानो~	انگار ~	जस्तै ~	گویا ~	sanki ~	כאילו ~	كما لو ~	als ob ~	como si ~	come se ~	como se ~	как будто ~	jakby ~
kiam	when	언제	quand	いつ	什么时候	什麼時候	khi	хэзээ	เมื่อไร	bila	Kapan	कब	چه زمانی	कहिले	کب	Ne zaman	מתי	متى	Wann	cuando	Quando	quando	когда	Kiedy
silenti	to be silent, to be quiet	조용히하다, 침묵하다	se taire, se taire	静かに、沈黙する	保持沉默，保持安静	保持沉默，保持安靜	im lặng, im lặng	чимээгүй байх, чимээгүй байх	ที่จะเงียบ, ที่จะเงียบ	untuk diam, untuk diam	untuk diam, untuk diam	चुप रहना, चुप रहना	ساکت بودن، ساکت بودن	चुप लाग्नु, चुप लाग्नु	خاموش رہنا، خاموش رہنا	susmak, susmak	לשתוק, לשתוק	أن تكون صامتًا، أن تكون هادئًا	schweigen, still sein	estar en silencio, estar quieto	tacere, tacere	ficar em silêncio, ficar quieto	молчать, молчать	milczeć, być cicho
neniam	never, at no time, not ever	어느때도 결코 ~않다	jamais, à aucun moment, jamais	いつも決して〜ない	从来没有，从来没有，从来没有	從來沒有，從來沒有，從來沒有	không bao giờ, không bao giờ, không bao giờ	хэзээ ч, хэзээ ч, хэзээ ч	ไม่เคย, ไม่มีเวลา, ไม่เคยเลย	tidak pernah, tidak pernah, tidak pernah	tidak pernah, tidak pernah, tidak pernah	कभी नहीं, किसी भी समय नहीं, कभी नहीं	هرگز، در هیچ زمانی، هرگز	कहिल्यै, कुनै समयमा, कहिल्यै होइन	کبھی نہیں، کبھی نہیں، کبھی نہیں۔	asla, hiçbir zaman, hiçbir zaman	לעולם, בשום זמן, לא אף פעם	أبدا، في أي وقت من الأوقات، أبدا	niemals, zu keinem Zeitpunkt, niemals	nunca, en ningún momento, nunca	mai, in nessun momento, mai	nunca, em nenhum momento, nunca	никогда, никогда, никогда	nigdy, w żadnym momencie, nigdy
tial	therefore, so	그런 이유로, 그래서	donc, donc	そういうわけで、だから	因此，所以	因此，所以	do đó để	тиймээс, тийм	ดังนั้น ดังนั้น	oleh itu, jadi	oleh karena itu, jadi	इसलिए इतना	بنابراین، بنابراین	त्यसैले, त्यसैले	لہذا، تو	bu nedenle, yani	לפיכך	لذلك، لذلك	deshalb, also	por lo tanto asi	quindi, così	portanto, então	следовательно, так	dlatego, więc
kial	why, what for	왜	pourquoi, pour quoi faire	なぜ	为什么，为什么	為什麼，為什麼	tại sao, để làm gì	яагаад, юуны төлөө	ทำไม เพื่ออะไร	kenapa, untuk apa	kenapa, untuk apa	क्यों, किसलिए	چرا، برای چه	किन, के को लागि	کیوں، کس لیے	neden, ne için	למה, בשביל מה	لماذا، لماذا	warum, wofür	por qué, para qué	perché, per cosa	por que, para que	Почему? Для чего	dlaczego, po co
kvankam	although ~, while, though	비록 ~일지라도	bien que ~, pendant que, cependant	たとえ〜でも	虽然〜，同时，虽然	雖然〜，同時，雖然	mặc dù ~, trong khi, mặc dù	хэдий ч ~, байхад, гэхдээ	แม้ว่า ~ ในขณะที่แม้ว่า	walaupun ~, sementara, walaupun	meskipun ~, sementara, meskipun	यद्यपि ~, जबकि, यद्यपि	اگرچه ~، در حالی که، هر چند	यद्यपि ~, जबकि, यद्यपि	اگرچہ ~، جبکہ، اگرچہ	buna rağmen ~, oysa, yine de	למרות ~, בעוד, אם כי	على الرغم من ~، في حين، على أية حال	obwohl ~, während, obwohl	aunque ~, mientras, aunque	sebbene ~, mentre, però	embora ~, enquanto, embora	хотя ~, пока, хотя	chociaż ~, podczas gdy, chociaż
ĉe ~	(preposition)  at ~	~(장소)에, ~에 (접촉)	(prep) à ~	～（場所）へ、～へ（接触）	(前置词) 在〜	&lt;前置字&gt;在〜	(giới từ) tại ~	(preposition) ~ дээр	(preposition) ที่ ~	(preposition) di ~	(preposition) di ~	(preposition) पर~	(preposition) در ~	(preposition) ~ मा	(preposition) ~ پر	(preposition) ~'da	(preposition) ב-~	(preposition) في ~	(Präposition) bei ~	(preposición) en ~	(preposizione) a ~	(preposição) em ~	(предлог) у ~	(przyimek) w ~
pli	more	~보다 더 (비교급을 나타내는 부사)	plus	~以上(比較を表す副詞)	更多的	更多的	hơn	илүү	มากกว่า	lebih	lagi	अधिक	بیشتر	थप	مزید	Daha	יותר	أكثر	mehr	más	Di più	mais	более	więcej
plej	most	가장 (최상급)	la plupart	偽装（最上級）	最多	最多	hầu hết	ихэнх нь	ที่สุด	paling	paling	अधिकांश	اکثر	धेरैजसो	زیادہ تر	en	רוב	معظم	am meisten	mayoría	maggior parte	maioria	большинство	bardzo
diri	to say, to tell	얘기하다 (내용)	dire, dire	話す（内容）	说，告诉	說，告訴	để nói, để kể	хэлэх, хэлэх	ที่จะพูดที่จะบอก	untuk mengatakan, untuk memberitahu	untuk mengatakan, untuk memberitahu	कहना, बताना	گفتن، گفتن	भन्नु, भन्नु	کہنا، بتانا	söylemek, söylemek	לומר, לספר	ليقول ليقول	sagen, erzählen	decir, contar	dire, dire	dizer, contar	сказать, рассказать	powiedzieć, powiedzieć
ol ~	than ~	~보다, ~에 비해서	que ~	〜より、〜に比べて	比~	比~	hơn ~	~аас илүү	กว่า ~	daripada ~	dari ~	से ~	از ~	~ भन्दा	سے ~	~'dan daha	מאשר ~	من ~	als ~	que ~	di ~	do que ~	чем ~	niż ~
paroli	to speak, to talk	말하다, 발언하다 (소리, 말)	parler, parler	話す、発言する（音、馬）	说话，说话	說話，說話	nói chuyện, nói chuyện	ярих, ярих	ที่จะพูดที่จะพูดคุย	bercakap, bercakap	untuk berbicara, untuk berbicara	बोलना, बात करना	صحبت کردن، صحبت کردن	बोल्न, कुरा गर्न	بات کرنا، بات کرنا	konuşmak, konuşmak	לדבר, לדבר	للتحدث، للتحدث	sprechen, reden	hablar, hablar	parlare, parlare	falar, falar	говорить, говорить	mówić, rozmawiać
kia	what kind of, what sort of	어떤 (성질,종류,상태를 묻는)	quel genre de, quel genre de	どんな（性質、種類、状態を求める）	什么样的，什么样的	什麼樣的，什麼樣的	cái gì, cái gì	ямар төрлийн, ямар төрлийн	แบบไหน, แบบไหน	macam mana, macam mana	jenis apa, jenis apa	किस प्रकार का, किस प्रकार का	چه نوع، چه نوع	कस्तो प्रकारको, कस्तो प्रकारको	کس قسم کی، کس قسم کی	ne tür, ne tür	איזה סוג, איזה סוג	أي نوع من، أي نوع من	was für, was für	qué tipo de, qué tipo de	che tipo, che tipo	que tipo de, que tipo de	какой, какого рода	jaki rodzaj, jaki rodzaj
tia	such, that kind of, such a	그러한, 그런	tel, ce genre de, tel	そのような、	这样的，那样的，这样的	這樣的，那樣的，這樣的	như thế, kiểu đó, kiểu như vậy	ийм, тийм, ийм, тийм	เช่นนั้น, เช่นนั้น, เช่นนั้น	itu, itu, seperti itu	seperti itu, seperti itu, seperti itu	ऐसा, वैसा, वैसा	چنین، آن نوع، چنین	यस्तो, त्यस प्रकारको, यस्तो a	ایسا، اس قسم کا، اس طرح کا	böyle, böyle, böyle bir	כזה, כזה, כזה	مثل هذا النوع من مثل هذا	so, so, so	tal, ese tipo de, tal	tale, quel tipo di, tale	tal, esse tipo de, tal	такой, такой, такой	taki, taki, taki
apenaŭ	barely, hardly, scarecely	겨우, 가까스로, 거의 ~하지 않는	à peine, à peine, à peine	やっと、近くで、ほとんど〜しない	勉强，勉强，勉强	勉強，勉強，勉強	hầu như không, hầu như không, hầu như không	арай ядан, бараг, бараг л	แทบจะไม่, แทบจะไม่, น่ากลัว	hampir tidak, hampir tidak, hampir tidak	hampir tidak, hampir tidak, hampir tidak	बमुश्किल, मुश्किल से, मुश्किल से	به سختی، به سختی، به سختی	मुश्किलले, मुश्किलले, डरले	بمشکل، مشکل سے، خوفناک	zar zor, zar zor, neredeyse hiç	בקושי, בקושי, בקושי	بالكاد، بالكاد، نادرا	kaum, kaum, kaum	apenas, apenas, escasamente	a malapena, difficilmente, appena	mal, dificilmente, raramente	едва, едва, едва	ledwo, ledwo, ledwo
sendi	to send	보내다	envoyer	送る	发送	傳送	để gửi	илгээх	ส่ง	untuk hantar	mengirim	भेजने के लिए	فرستادن	पठाउनु	بھیجنا	göndermek	לשלוח	لترسل	senden	mandar	inviare	enviar	отправлять	wysyłać
ĵus	just (a moment ago), just now	바로 전에, 이제 막	juste (il y a un instant), juste maintenant	直前に、今	就在（刚才），就在现在	就在（剛才），就在現在	chỉ (một lúc trước), ngay bây giờ	дөнгөж сая (хоромын өмнө), яг одоо	แค่ (เมื่อครู่ที่แล้ว) เมื่อสักครู่นี้	tadi (sebentar tadi), tadi	baru saja (beberapa saat yang lalu), baru saja	अभी (एक क्षण पहले), अभी	همین الان (یک لحظه پیش)، همین الان	भर्खर (एक क्षण पहिले), भर्खर	ابھی (ایک لمحہ پہلے)، ابھی	sadece (bir dakika önce), şimdi	רק (לפני רגע), ממש עכשיו	فقط (منذ لحظة)، الآن	gerade (vor einem Moment), gerade jetzt	justo (hace un momento), justo ahora	proprio (un attimo fa), proprio adesso	apenas (um momento atrás), agora mesmo	только что (минуту назад), только что	właśnie (chwilę temu), właśnie teraz
