eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
ĉu vi volas legi?	do you want to read?	당신은 읽기를 원하는가?	tu veux lire ?	あなたは読書をしたいですか？	你想读书吗？	你想讀書嗎？	bạn có muốn đọc không?
la junulo trinkis kafon	the youngster drank coffee	그 젊은이는 커피를 마셨다	le jeune a bu du café	その若者はコーヒーを飲んだ	年轻人喝了咖啡	年輕人喝了咖啡	chàng trai trẻ uống cà phê
volas trinki akvon	wants to drink water	물 마시기를 원한다	veut boire de l'eau	水を飲みたい	想喝水	想喝水	muốn uống nước
patro kaj patrino, gepatroj	a father and a mother; parents	아버지, 어머니; 부모님들	un père et une mère ; parents	父、母; 両親	父亲和母亲；父母	父親和母親；父母	một người cha và một người mẹ; cha mẹ
frato kaj fratino, gefratoj	a bother and a sister, siblings	형제와 자매, 형제자매	un frère et une sœur, frères et sœurs	兄弟、姉妹、兄弟姉妹	一个麻烦和一个姐妹，兄弟姐妹	一個麻煩和一個姊妹，兄弟姊妹	một người phiền toái và một người chị, anh chị em
viaj gepatroj kaj gefratoj	your parents and siblings	당신의 부모님들과 형제자매들	tes parents et tes frères et sœurs	あなたの両親と兄弟姉妹	你的父母和兄弟姐妹	你的父母和兄弟姊妹	bố mẹ và anh chị em của bạn
estas en via hejmo	is in your home	당신의 집에 있다	est chez toi	あなたの家にいる	在你家里	在你家裡	đang ở trong nhà bạn
jen la kafo	here is the coffee	여기 커피 있어요	voici le café	ここにコーヒーがある	这是咖啡	這是咖啡	đây là cà phê
ankoraŭ ne trinkis	didn't drink yet	아직 마시지 않았다	je n'ai pas encore bu	まだ飲んでいない	还没喝	還沒喝	vẫn chưa uống
estas ankoraŭ varma	is still warm	여전히 덥다	il fait encore chaud	まだ暑い	仍然温暖	仍然溫暖	vẫn còn ấm
hieraŭ kuiris ĝin	cooked it yesterday	어제 그것을 요리했다	je l'ai cuisiné hier	昨日それを調理した	昨天煮的	昨天煮的	đã nấu nó ngày hôm qua
mi nun kuiris	I now cooked	내가 지금 요리했다	J'ai maintenant cuisiné	私は今それを調理しました	我现在煮了	我現在煮了	bây giờ tôi đã nấu ăn
dankon. tiel li diris	thank you. so he said.	감사합니다. 그렇게 그는 말했다	merci. alors il a dit.	ありがとう、そう彼は言った	谢谢。他说。	謝謝。他說。	Cảm ơn. vì vậy anh ấy nói.
povas trinki kaj manĝi	can drink and eat	마실 수 있고 먹을 수 있다	peut boire et manger	飲むことができ、食べることができます	能喝能吃	能喝能吃	có thể uống và ăn
trinkis malvarman kafon	drank cold coffee	차가운 커피를 마셨다	bu du café froid	冷たいコーヒーを飲んだ	喝了冷咖啡	喝了冷咖啡	uống cà phê lạnh
ankaŭ varma kafo	still warm coffee	뜨거운 커피도	café encore chaud	ホットコーヒーも	仍然温热的咖啡	仍然溫熱的咖啡	cà phê vẫn còn ấm
trinkas ankaŭ malvarman kafon	drinks cold coffee too	차가운 커피도 마신다	il boit aussi du café froid	冷たいコーヒーも飲む	也喝冷咖啡	也喝冷咖啡	cũng uống cà phê lạnh
povas trinki ankaŭ malvarman kafon	can also drink cold coffee	차가운 커피도 마실 수 있다	peut aussi boire du café froid	冷たいコーヒーも飲める	还可以喝冷咖啡	還可以喝冷咖啡	cũng có thể uống cà phê lạnh
rigardas ŝian okulon	looks at her eye	그녀의 눈을 바라본다	regarde ses yeux	彼女の目を見つめる	看着她的眼睛	看著她的眼睛	nhìn vào mắt cô ấy
la plej bela okulo	the most beautiful eye	가장 아름다운 눈	le plus bel œil	最も美しい目	最美丽的眼睛	最美麗的眼睛	con mắt đẹp nhất
la belaj okuloj	the beautiful eyes	그 아름다운 눈들	les beaux yeux	その美しい目	美丽的眼睛	美麗的眼睛	đôi mắt đẹp
rigardis la belajn okulojn	looked the beautiful eyes	그 아름다운 눈들을 바라보았다	j'ai regardé ces beaux yeux	その美しい瞳を見つめた	看着美丽的眼睛	看著美麗的眼睛	nhìn đôi mắt đẹp
la belaj okuloj de ŝi	the beautiful eyes of her	그녀의 아름다운 눈들	ses beaux yeux	彼女の美しい瞳を	她美丽的眼睛	她美麗的眼睛	đôi mắt đẹp của cô ấy
vidas kaj komprenas	sees and understands	~를 본다, 그리고 이해한다.	voit et comprend	~を見る、そして理解する	看到并理解	看到並理解	nhìn thấy và hiểu
mi vidas, ke ~	I see that ~	나는 ~라는 것을 본다	Je vois ça ~	私は～ということを見る	我看到了~	我看到了~	Tôi thấy điều đó ~
ke li amas ŝin	that he loves her	그가 그녀를 사랑한다는 것을	qu'il l'aime	彼が彼女を愛していることを	他爱她	他愛她	rằng anh ấy yêu cô ấy
ŝi sentis, ke li amas ŝin	she feels that he loves her	그녀는 느꼈다, 그가 그녀를 사랑한다는 것을	elle sent qu'il l'aime	彼女は感じた、彼が彼女を愛していることを	她感觉他爱她	她覺得他愛她	cô ấy cảm thấy rằng anh ấy yêu cô ấy
demandas, ĉu tio estis granda	asks whether that was big	질문한다, 그것이 커다랐었는지를	demande si c'était gros	質問する、それが大きかったかどうかを。	问那是否很大	問那是否很大	hỏi nó có lớn không
pri facila demando	about an easy question	쉬운 질문에 대해서	à propos d'une question facile	簡単な質問について	关于一个简单的问题	關於一個簡單的問題	về một câu hỏi dễ
diris pri nova mono	said about a new money	새로운 돈에 대해서 얘기했다	a parlé d'un nouvel argent	新しいお金について話した	说到新钱	說到新錢	nói về một loại tiền mới
tre belaj okuloj	very beautiful eyes	매우 아름다운 눈들	très beaux yeux	非常に美しい目	非常美丽的眼睛	非常美麗的眼睛	đôi mắt rất đẹp
rigardis la grandan fraton	looked the big brother	그 큰 형을 보았다	j'avais l'air du grand frère	その大きな兄を見た	看起来是大哥	看起來是大哥	nhìn anh lớn
malgranda fratino forgesis ĝin	a little sister forgot it	여동생은 그것을 잊어버렸다	une petite soeur l'a oublié	妹はそれを忘れていた	有一个小妹妹忘记了	有個小妹妹忘了	một em gái đã quên nó
akuzativo	an accusative (objective)	목적격	un accusatif (objectif)	目的格	宾格（宾语）	賓格（賓語）	một lời buộc tội (khách quan)
ne forgesu akuzativon	don't forget the accusative ending	목적격 접미사를 잊지마	n'oublie pas la fin accusative	目的格の接尾辞を忘れずに	不要忘记宾格结尾	不要忘記賓格結尾	đừng quên kết thúc buộc tội
kiun vi vidas?	whom are you seeing? which one do you see?	당신은 어느 누구를 보는가?	qui vois-tu ? lequel vois-tu ?	あなたは誰を見るのですか？	你在见谁？你看到哪一个？	你在見誰？你看到哪一個？	bạn đang nhìn thấy ai? bạn thấy cái nào?
mi vidas amikon	I see a friend	나는 친구를 본다	je vois un ami	私は友達を見る	我看到一个朋友	我看到一個朋友	Tôi thấy một người bạn
havas bonajn geamikojn	has good male-and-female friends	좋은 남녀친구들을 가지고 있다	a de bons amis hommes et femmes	良い男女の友達がいる	有很好的男女朋友	有很好的男女朋友	có những người bạn nam nữ tốt
ili laboras pri la malnova domo	they are working about the old house	그들은 일한다, 그 헌 집에 대해	ils travaillent sur la vieille maison	彼らは働く、その古い家について	他们正在修旧房子	他們正在修理舊房子	họ đang làm việc về ngôi nhà cũ
laboras, laboris, laboros	works, worked, will work	일한다, 일했다, 일할 것이다	travaille, travaillé, fonctionnera	働く、働いた、働くだろう	工作，工作，将会工作	工作，工作，將會工作	đang hoạt động, đã hoạt động, sẽ hoạt động
vidas, ke mi manĝas	sees, that I eat	보고 있다, 내가 먹고 있는 것을	vois, que je mange	見ている、私が食べていることを	看到，我吃	看到，我吃	thấy rằng tôi ăn
diris, ke li iros	said, that he will go	얘기했다, 그가 갈 것이라고	a dit qu'il ira	話しました、彼が行くことを	说他会去	說他會去	nói rằng anh ấy sẽ đi
malbela kaj malbona	ugly and bad	추하고 나쁜	laid et mauvais	醜くて悪い	又丑又坏	又醜又壞	xấu và xấu
kion ŝi diris?	what did she say?	그녀가 뭘 얘기했는가?	Qu'a-t-elle dit?	彼女は何を話したのか？	她说了什么？	她說了什麼？	Cô ấy đã nói gì?
kion vi atendas?	what are you waiting for?	너는 무엇을 기다리고 있는가?	Qu'est-ce que tu attends?	あなたは何を待っているのか？	你在等什么？	你在等什麼？	Bạn còn chờ gì nữa?
eniris en la ĉambron	went into the room	그 방 안으로 들어갔다	je suis entré dans la chambre	その部屋の中に入った	走进房间	走進房間	đã vào phòng
enhavo estis tre malfacila	a content is very difficult	내용이 매우 어려웠다	un contenu est très difficile	内容がとても難しかった	内容非常困难	內容非常困難	một nội dung rất khó
alvenis al la kunsido	arrived at the meeting	그 회의에 도착했다	arrivé à la réunion	その会議に到着した	到达会议地点	到達會議地點	đã đến cuộc họp
bonvenon, al la kunveno	welcome to the meeting	환영합니다, 대회에 오신 것을	bienvenue à la réunion	ようこそ、大会へようこそ	欢迎参加会议	歡迎參加會議	chào mừng đến cuộc họp
maljuna viro donis trinkmonon	an old man gave a tip	늙은 남자는 팁을 줬다	un vieil homme a donné un pourboire	老人はチップを渡した	一位老人给了小费	一位老人給了小費	một ông già đã cho tiền boa
alvenis kaj estis bonvena	arrived and was welcomed	도착했고 환영받았다	est arrivé et a été accueilli	到着し、歓迎された	到达并受到欢迎	到達並受到歡迎	đã đến và được chào đón
ili malamas sed kunlaboras.	they hate but cooperate	그들은 미워하지만, 협동한다	ils détestent mais coopèrent	彼らは嫌いだが、協力する	他们讨厌但合作	他們討厭但合作	họ ghét nhưng hợp tác
iris al la hotelo	went to the hotel	그 호텔로 갔다	je suis allé à l'hôtel	そのホテルに行った	去了酒店	去了飯店	đã đến khách sạn
havas facilajn lernolibrojn	has easy textbooks	쉬운 학습서들을 가지고 있다	a des manuels faciles	簡単な学習書を持っている	有简单的教科书	有簡單的教科書	có sách giáo khoa dễ dàng
kia estis via patrino?	how was your mother?	당신의 어머니는 어떠하였는가?	comment allait ta mère ?	あなたのお母さんはどうでしたか？	你妈妈怎么样？	你媽媽怎麼樣？	mẹ bạn thế nào?
via malnova hejmo	your old home	당신의 옛 집	ton ancienne maison	あなたの古い家	你的老家	你的老家	ngôi nhà cũ của bạn
kiujn librojn vi legis?	which books did you read?	당신은 어느 책들을 읽었는가?	quels livres as-tu lu ?	あなたはどの本を読みましたか？	你读了哪些书？	你讀了哪些書？	bạn đã đọc những cuốn sách nào?
ĉu ili estis bonaj?	were they good?	그것들이 좋았는가?	étaient-ils bons ?	それらは良かったか？	他们好吗？	他們好嗎？	họ có tốt không?
kion faris hieraŭ?	did what yesterday?	어제 무엇을 했는가?	qu'a fait hier ?	昨日は何をしましたか？	昨天做了什么？	昨天做了什麼？	hôm qua đã làm gì?
en la malgranda ĉambro	in the small room	그 작은 방 안에서	dans la petite salle	その小さな部屋の中で	在小房间里	在小房間裡	trong căn phòng nhỏ
tre longe parolis	spoke very long while	꽤 오랫동안 말했다	a parlé très longtemps pendant que	かなり長い間話した	说了很长一段时间	說了很長一段時間	đã nói rất lâu
antaŭ la lernejo	in front of the school, before the school	그 학교 앞에서	devant l'école, avant l'école	その学校の前で	学校前面，学校前面	學校前面，學校前面	trước trường, trước trường
