eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw
dankon	thank you	감사합니다	merci	ありがとう	谢谢	謝謝	Cảm ơn	баярлалаа	ขอบคุณ	terima kasih	Terima kasih	धन्यवाद	متشکرم	धन्यवाद	شکریہ	Teşekkürler	תודה	شكرًا لك	Danke	gracias	Grazie	obrigado	Спасибо	Dziękuję	សូមអរគុណ	ကျေးဇူးတင်ပါသည်	ধন্যবাদ	நன்றி	ਤੁਹਾਡਾ ਧੰਨਵਾਦ	धन्यवाद	ధన్యవాదాలు	Дякую	tack	Asante
dankon kaj ĝis revido!	thank you and see you again!	감사합니다. 그리고 다시볼때까지 (안녕)!	merci et à bientôt !	ありがとうございます。そしてまた見るまで（こんにちは）！	谢谢您，再见！	謝謝您，再見！	cảm ơn và hẹn gặp lại!	баярлалаа, дахин уулзъя!	ขอบคุณและพบกันใหม่!	terima kasih dan jumpa lagi!	terima kasih dan sampai jumpa lagi!	धन्यवाद और फिर मिलेंगे!	متشکرم و دوباره می بینمت!	धन्यवाद र फेरि भेटौंला!	آپ کا شکریہ اور آپ کو دوبارہ ملتے ہیں!	teşekkür ederim ve tekrar görüşürüz!	תודה ולהתראות שוב!	شكرا لك ونراكم مرة أخرى!	Vielen Dank und bis bald!	gracias y nos vemos de nuevo!	grazie e ci vediamo ancora!	obrigado e até mais!	спасибо и увидимся снова!	dziękuję i do zobaczenia ponownie!	អរគុណហើយជួបគ្នាម្តងទៀត!	ကျေးဇူးတင်ပြီး ပြန်တွေ့မယ်!	আপনাকে ধন্যবাদ এবং আবার দেখা হবে!	நன்றி மீண்டும் சந்திப்போம்!	ਤੁਹਾਡਾ ਧੰਨਵਾਦ ਅਤੇ ਤੁਹਾਨੂੰ ਦੁਬਾਰਾ ਮਿਲਾਂਗੇ!	धन्यवाद आणि पुन्हा भेटू!	ధన్యవాదాలు మరియు మళ్ళీ కలుద్దాం!	дякую і до нових зустрічей!	tack och vi ses igen!	asante na kukuona tena!
al ~	to ~	~ 에게	à ~	〜へ	到~	到~	đến ~	тулд ~	ถึง ~	kepada ~	ke ~	को~	به ~	को ~	کو ~	~'e	ל~	إلى ~	zu ~	a ~	a ~	para ~	до ~	do ~	ទៅ ~	~	থেকে ~	~	ਨੂੰ ~	ते ~	~ వరకు	до ~	till ~	kwa ~
al vi, al mi	to you, to me	당신에게, 나에게	à toi, à moi	あなたに、私に	对你，对我	對你，對我	với bạn, với tôi	чамд, надад	ไปยังคุณ, ไปยังฉัน	kepada awak, kepada saya	untukmu, padaku	तुम्हें, मुझे	به تو، به من	तिमीलाई, मलाई	آپ کو، مجھے	sana, bana	לך, לי	لك، لي	für dich, für mich	a ti, a mi	a te, a me	para você, para mim	тебе, мне	do ciebie, do mnie	ចំពោះអ្នក ចំពោះខ្ញុំ	မင်းအတွက်၊ ငါ့အတွက်	তোমার কাছে, আমার কাছে	உனக்கு, எனக்கு	ਤੁਹਾਨੂੰ, ਮੇਰੇ ਲਈ	तुला, मला	నీకు, నాకు	тобі, мені	till dig, till mig	kwako, kwangu
dankas, dankis	(present) thanks, (past) thanked	(현재) 감사한다, (과거) 감사했다	(présent) merci, (passé) remercié	（現在）ありがとう、（過去）ありがとう	（现在）感谢，（过去）感谢	（現在）感謝，（過去）感謝	(hiện tại) cảm ơn, (quá khứ) cảm ơn	(одоо) баярлалаа, (өнгөрсөн) баярлалаа	(ปัจจุบัน) ขอบคุณ, (อดีต) ขอบคุณ	(sekarang) terima kasih, (dahulu) terima kasih	(sekarang) terima kasih, (dulu) terima kasih	(वर्तमान) धन्यवाद, (अतीत) धन्यवाद	(حال) سپاس، (گذشته) سپاسگزار	(वर्तमान) धन्यवाद, (विगत) धन्यवाद	(موجودہ) شکریہ، (ماضی) شکریہ	(şimdiki) teşekkür ederim, (geçmişte) teşekkür ettim	(הווה) תודה, (עבר) הודה	(الحاضر) الشكر، (الماضي) الشكر	(Gegenwart) Danke, (Vergangenheit) Danke	(presente) gracias, (pasado) agradecido	(presente) grazie, (passato) ringraziato	(presente) obrigado, (passado) agradecido	(настоящее) спасибо, (прошлое) поблагодарил	(obecnie) dzięki, (w przeszłości) podziękowano	(បច្ចុប្បន្ន) អរគុណ (អតីតកាល) អរគុណ	(ပစ္စုပ္ပန်) ကျေးဇူး၊ (အတိတ်) ကျေးဇူး	(বর্তমান) ধন্যবাদ, (অতীত) ধন্যবাদ	(தற்போது) நன்றி, (கடந்த) நன்றி	(ਮੌਜੂਦਾ) ਧੰਨਵਾਦ, (ਅਤੀਤ) ਧੰਨਵਾਦ ਕੀਤਾ	(वर्तमान) धन्यवाद, (भूतकाळ) धन्यवाद	(ప్రస్తుతం) ధన్యవాదాలు, (గతం) ధన్యవాదాలు	(теперішній) дякувати, (минулий) дякувати	(nuvarande) tack, (förflutna) tackade	(sasa) asante, (zamani) alishukuru
mi dankas al vi	I appreciate to you	나는 당신에게 감사합니다	je t'apprécie	私はあなたに感謝します	我很感激你	我很感激你	Tôi đánh giá cao bạn	Би чамд талархаж байна	ฉันขอขอบคุณคุณ	Saya menghargai anda	Saya menghargai Anda	मैं आपकी सराहना करता हूं	من از شما قدردانی می کنم	म तपाईंलाई कदर गर्छु	میں آپ کی تعریف کرتا ہوں۔	sana minnettarım	אני מעריך אותך	أنا أقدر لك	Ich schätze es für Sie	te lo agradezco	Ti apprezzo	eu agradeço a você	Я ценю тебя	Doceniam cię	ខ្ញុំសូមកោតសរសើរចំពោះអ្នក។	မင်းကို ငါတန်ဖိုးထားတယ်။	আমি আপনার প্রশংসা করি	நான் உங்களை பாராட்டுகிறேன்	ਮੈਂ ਤੁਹਾਡੀ ਕਦਰ ਕਰਦਾ ਹਾਂ	मी तुमचे कौतुक करतो	నేను నిన్ను అభినందిస్తున్నాను	Я ціную вас	Jag uppskattar till dig	Ninashukuru kwako
jes, ne	yes, no	예, 아니오	Oui Non	はい、いいえ	是的，不是	是的，不是	có không	тийм Үгүй	ใช่, ไม่ใช่	Ya tidak	ya Tidak	हां नहीं	بله خیر	हो होइन	ہاں نہیں	Evet Hayır	כן לא	نعم / لا	ja Nein	sí No	si No	sim não	да нет	tak nie	បាទ​អត់​ទេ	ဟုတ်တယ်မဟုတ်ဘူး	হ্যাঁ না	ஆ ம் இல்லை	ਹਾਂ ਨਹੀਂ	होय नाही	అవును కాదు	так ні	Ja Nej	ndio la
jes, dankon	yes, thaink you	예, 감사합니다	oui, je te remercie	はい、ありがとう	是的，谢谢你	是的，謝謝你	vâng, cảm ơn bạn	тиймээ, баярлалаа	ใช่, ขอบคุณ	ya, terima kasih	ya, terima kasih	हाँ, धन्यवाद	بله، متشکرم	हो, तपाईलाई थाहा छ	جی ہاں، آپ کا شکریہ	evet teşekkür ederim	כן, תודה לך	نعم، أعتقد أنك	Ja, glaube ich	si, gracias	sì, grazie	sim, acho que você	да, думаю, ты	tak, dziękuję	បាទ អរគុណ	ဟုတ်ကဲ့ ကျေးဇူးတင်ပါတယ်	হ্যাঁ, থাইঙ্ক	ஆம், நன்றி	ਹਾਂ, ਤੁਹਾਡਾ ਧੰਨਵਾਦ	होय, थँक	అవును, ధన్యవాదాలు	так, дякую	ja, tänk dig	ndio, asante
manĝas, manĝos	eats, will eat	(현재) 먹는다, (미래) 먹을것이다	mange, va manger	（現在）食べる、（未来）食べる	吃，会吃	吃，會吃	ăn, sẽ ăn	иддэг, идэх болно	กำลังกิน, จะกิน	makan, akan makan	makan, akan makan	खाता है, खाऊंगा	می خورد، خواهد خورد	खान्छ, खान्छ	کھاتا ہے، کھائے گا۔	yer, yiyecek	אוכל, יאכל	يأكل، سوف يأكل	isst, wird essen	come, comerá	mangia, mangerà	come, vai comer	ест, будет есть	je, będzie jadł	បរិភោគ, នឹងបរិភោគ	စားမယ်၊ စားမယ်။	খায়, খাবে	சாப்பிடுகிறார், சாப்பிடுவார்	ਖਾਂਦਾ ਹੈ, ਖਾਵੇਗਾ	खातो, खातो	తింటుంది, తింటుంది	їсть, буде їсти	äter, kommer att äta	atakula, atakula
mi ne manĝas	I don't eat	나는 먹지 않습니다	je ne mange pas	私は食べません	我不吃东西	我不吃東西	tôi không ăn	Би иддэггүй	ฉันไม่กิน	saya tak makan	saya tidak makan	मैं नहीं खाता	من نمیخورم	म खान्न	میں نہیں کھاتا	yemem	אני לא אוכל	أنا لا آكل	Ich esse nicht	yo no como	Non mangio	eu não como	я не ем	nie jem	ខ្ញុំមិនញ៉ាំទេ។	ငါမစားဘူး။	আমি খাই না	நான் சாப்பிடுவதில்லை	ਮੈਂ ਨਹੀਂ ਖਾਂਦਾ	मी खात नाही	నేను తినను	я не їм	Jag äter inte	Mimi si kula
ne, mi ne manĝas	no, I don't eat	아뇨, 나는 먹지 않습니다	non, je ne mange pas	いいえ、私は食べません	不，我不吃	不，我不吃	không, tôi không ăn	Үгүй ээ, би иддэггүй	ไม่, ฉันไม่กิน	tidak, saya tidak makan	tidak, aku tidak makan	नहीं, मैं नहीं खाता	نه من نمیخورم	होइन, म खाँदिन	نہیں، میں نہیں کھاتا	hayır yemem	לא, אני לא אוכל	لا، أنا لا آكل	Nein, ich esse nicht	no, no como	no, non mangio	não, eu não como	нет, я не ем	nie, nie jem	ទេ ខ្ញុំមិនញ៉ាំទេ។	မဟုတ်ဘူး၊ ငါမစားဘူး။	না, আমি খাই না	இல்லை, நான் சாப்பிடுவதில்லை	ਨਹੀਂ, ਮੈਂ ਨਹੀਂ ਖਾਂਦਾ	नाही, मी खात नाही	లేదు, నేను తినను	ні, я не їм	nej, jag äter inte	hapana, mimi si kula
bela, bele	beautiful, beautifully	아름다운, 아름답게	beau, magnifiquement	美しい、美しく	美丽的，美丽的	美麗的，美麗的	đẹp, đẹp	үзэсгэлэнтэй, сайхан	สวยงาม, อย่างสวยงาม	cantik, cantik	indah, indah	सुन्दर, सुन्दर	زیبا، زیبا	सुन्दर, सुन्दर	خوبصورت، خوبصورتی سے	güzel, güzel	יפה, יפה	جميل، جميل	schön, wunderschön	hermoso, bellamente	bello, magnificamente	lindo, lindamente	красиво, красиво	pięknie, pięknie	ស្រស់ស្អាត, ស្រស់ស្អាត	လှတယ်၊ လှတယ်။	সুন্দর, সুন্দরভাবে	அழகான, அழகாக	ਸੋਹਣਾ, ਸੋਹਣਾ	सुंदर, सुंदर	అందంగా, అందంగా	красиво, красиво	vackert, vackert	mrembo, mrembo
-inda	worthwhile (ending)	(어미) ~할 만한 가치가 있는	ça vaut le coup (fin)	（母）〜する価値がある	值得（完结）	值得（結束）	đáng giá (kết thúc)	үнэ цэнэтэй (төгсгөл)	คุ้มค่า (ตัวลงท้าย)	berbaloi (berakhir)	berharga (berakhir)	सार्थक (समाप्त)	ارزشمند (پایان)	सार्थक (समाप्त)	قابل قدر (ختم)	değerli (bitiş)	כדאי (סיום)	جدير بالاهتمام (النهاية)	lohnenswert (Ende)	vale la pena (final)	utile (fine)	vale a pena (finalizando)	стоящий (окончание)	warto (koniec)	មានតម្លៃ (បញ្ចប់)	တန်ဖိုးရှိ (အဆုံး)	সার্থক (শেষ)	பயனுள்ளது (முடிவு)	ਸਾਰਥਕ (ਅੰਤ)	सार्थक (समाप्त)	విలువైనది (ముగింపు)	варто (кінець)	värt (slut)	thamani (mwisho)
dankinda, dankinde	appreciatable, worthwhile to thank	감사할 만한, 감사하게도	appréciable, ça vaut la peine de remercier	ありがとう、感謝して	值得赞赏的，值得感谢的	值得讚賞的，值得感謝的	đáng trân trọng, đáng để cảm ơn	үнэлж баршгүй, талархах нь зүйтэй	น่าชื่นชมและคุ้มค่าที่จะขอบคุณ	dihargai, patut disyukuri	patut dihargai, patut untuk disyukuri	प्रशंसनीय, धन्यवाद देने योग्य	قابل قدردانی، شایسته تشکر است	सराहनीय, धन्यवाद दिन सार्थक	قابل تعریف، شکریہ ادا کرنے کے قابل	takdire şayan, teşekkür etmeye değer	ראוי להערכה, כדאי להודות	جدير بالتقدير، جدير بالشكر	dankbar, es lohnt sich zu danken	apreciable, vale la pena agradecer	apprezzabile, vale la pena ringraziare	apreciável, vale a pena agradecer	ценно, стоит поблагодарить	godne podziwu, warto podziękować	គួរ​ឱ្យ​សរសើរ​គួរ​ឱ្យ​សរសើរ​	ကျေးဇူးတင်ထိုက်၊ ကျေးဇူးတင်ထိုက်ပါတယ်။	প্রশংসাযোগ্য, ধন্যবাদ দেওয়া সার্থক	பாராட்டத்தக்கது, நன்றி சொல்லத் தக்கது	ਸ਼ਲਾਘਾਯੋਗ, ਧੰਨਵਾਦ ਕਰਨ ਯੋਗ	कौतुकास्पद, आभार मानण्यासारखे आहे	మెచ్చుకోదగినది, కృతజ్ఞతతో కూడుకున్నది	вагомий, вартий подяки	uppskattande, värt att tacka	ya kuthaminiwa, inafaa kushukuru
